ORDER_ID,TRUCK_ID,LOCATION_ID,CUSTOMER_ID,DISCOUNT_ID,SHIFT_ID,SHIFT_START_TIME,SHIFT_END_TIME,ORDER_CHANNEL,ORDER_TS,SERVED_TS,ORDER_CURRENCY,ORDER_AMOUNT,ORDER_TAX_AMOUNT,ORDER_DISCOUNT_AMOUNT,ORDER_TOTAL
435106063,436,10033,25230,,200507270,08:00:00.000,14:00:00.000,,2022-09-23T11:07:45.000Z,,USD,10.0000,,,10.0000
132718406,291,7843,,,300413,15:30:00.000,22:30:00.000,,2020-12-07T21:31:44.000Z,,USD,6.0000,,,6.0000
362914334,327,7356,,,200362352,08:30:00.000,14:30:00.000,,2022-03-05T11:38:48.000Z,,USD,31.0000,,,31.0000
457995390,49,15433,,,200575010,08:00:00.000,14:00:00.000,,2022-01-15T11:06:14.000Z,,USD,46.0000,,,46.0000
53795830,167,13128,,,162414,09:00:00.000,15:00:00.000,,2021-03-05T12:47:35.000Z,,USD,27.0000,,,27.0000
60487313,182,13780,,,188129,15:00:00.000,22:00:00.000,,2022-03-08T19:00:01.000Z,,USD,20.0000,,,20.0000
447718026,64,11304,,,200524391,15:30:00.000,22:30:00.000,,2022-09-20T19:04:15.000Z,,USD,33.0000,,,33.0000
48407935,156,10349,,,150278,08:00:00.000,14:00:00.000,,2021-11-11T08:57:38.000Z,,USD,43.0000,,,43.0000
447907738,72,3086,,,200524647,15:30:00.000,22:30:00.000,,2022-09-28T19:50:33.000Z,,USD,20.0000,,,20.0000
458464426,58,15247,,,200577663,16:00:00.000,23:00:00.000,,2022-04-28T21:36:00.000Z,,USD,13.0000,,,13.0000
68020328,224,6725,,,212454,08:00:00.000,14:00:00.000,,2020-01-12T10:32:51.000Z,,USD,84.0000,,,84.0000
48993149,161,11844,,,151366,08:30:00.000,14:30:00.000,,2022-01-11T11:02:38.000Z,,USD,14.0000,,,14.0000
88027265,232,6069,,,239363,15:30:00.000,22:30:00.000,,2022-03-28T16:04:17.000Z,,USD,16.0000,,,16.0000
